subject,allstrengthtotal,PreCG.L,PreCG.R,SFGdor.L,SFGdor.R,ORBsup.L,ORBsup.R,MFG.L,MFG.R,ORBmid.L,ORBmid.R,IFGoperc.L,IFGoperc.R,IFGtriang.L,IFGtriang.R,ORBinf.L,ORBinf.R,ROL.L,ROL.R,SMA.L,SMA.R,OLF.L,OLF.R,SFGmed.L,SFGmed.R,ORBsupmed.L,ORBsupmed.R,REC.L,REC.R,INS.L,INS.R,ACG.L,ACG.R,DCG.L,DCG.R,PCG.L,PCG.R,PHG.L,PHG.R,CAL.L,CAL.R,CUN.L,CUN.R,LING.L,LING.R,SOG.L,SOG.R,MOG.L,MOG.R,IOG.L,IOG.R,FFG.L,FFG.R,PoCG.L,PoCG.R,SPG.L,SPG.R,IPL.L,IPL.R,SMG.L,SMG.R,ANG.L,ANG.R,PCUN.L,PCUN.R,PCL.L,PCL.R,HES.L,HES.R,STG.L,STG.R,TPOsup.L,TPOsup.R,MTG.L,MTG.R,TPOmid.L,TPOmid.R,ITG.L,ITG.R
neo-0210-1-4year,1.0,0.0207365788516,0.0197553974821,0.0203721469542,0.0214477225039,0.0123730493047,0.0142615587453,0.0218917497591,0.0212651142892,0.00712197070944,0.00718135375023,0.0109268192444,0.0107436209543,0.0109445103302,0.0104844415181,0.0127658428177,0.013547563062,0.00995847648473,0.0103255503106,0.0150988533619,0.0179944136133,0.00423755707147,0.00296937331741,0.0175003193559,0.0139578062664,0.0082486905959,0.00866298609829,0.00867401871984,0.00988284848985,0.0174726729832,0.0185458278827,0.0110551829915,0.0102640774195,0.0155288596214,0.0150427291466,0.00640293926919,0.00536751119686,0.00662299938965,0.00651150196393,0.0137686982819,0.0118969165843,0.0167260219918,0.016742702797,0.0116468855517,0.00980418294783,0.00994091950696,0.0112311215663,0.0182623212478,0.0161439439187,0.0110809764381,0.0105686948952,0.0122329153418,0.0101475040044,0.0217449550969,0.0203386333547,0.0124780246093,0.0126554003753,0.0135191723896,0.0080692965039,0.0100332841854,0.0107501922483,0.0103590013264,0.0127225616825,0.020350479565,0.0209765316649,0.0143210803644,0.00948781984276,0.00620820992264,0.00499772615345,0.0180462396659,0.0213995240738,0.00876673878461,0.00910668478878,0.021350547817,0.0211078748457,0.00446422201297,0.00562240364596,0.0118749049845,0.0129100491948
neo-0211-1-4year,1.0,0.0186828594838,0.0183123161085,0.0207740242323,0.0225032668049,0.0115185382788,0.0147585886443,0.0179288102499,0.0190603216385,0.00707282466412,0.00923295900736,0.0102901617037,0.0101837661485,0.00930934969773,0.0106620642872,0.0113103521116,0.0142066364151,0.0103922341582,0.00995953314039,0.0132826815938,0.0167653415549,0.00351554916603,0.00239489780649,0.0148678003519,0.0134056126685,0.00771868273311,0.00913343677318,0.00827508307377,0.00937248469747,0.0156891144878,0.0168089453219,0.00945475998713,0.0089913654086,0.0135687335789,0.0153891203892,0.00620730670942,0.00560234762827,0.00734252978237,0.00700340048468,0.014842052673,0.0130260821533,0.0181955242006,0.019047747825,0.0116687967143,0.0107385890801,0.0111847958101,0.0132213535684,0.0180379355864,0.017625370399,0.00898266692985,0.0105391036646,0.0130934470639,0.0113237850903,0.0234708481225,0.020347589665,0.0141052935691,0.0136739313034,0.0147920438072,0.00793806532213,0.00936015181384,0.0109131200671,0.00992728262697,0.010908508305,0.021550013998,0.0229255760159,0.0103854517541,0.0102620933698,0.00596788375272,0.00519580568856,0.0198932935997,0.021597099884,0.0094446682062,0.00912612023201,0.0232632210945,0.02346202236,0.00458662124238,0.0059635629249,0.0121824410885,0.0162822384556
neo-0212-1-4year,1.0,0.0190417842738,0.020102619862,0.019099768915,0.0228865682338,0.0119778812577,0.0129916536574,0.0201237265749,0.0193469550117,0.00826098227207,0.00845460594192,0.0108401047057,0.0111807467636,0.0114774778521,0.0111393656651,0.0120578884251,0.0136009376471,0.00997602223773,0.00948891077385,0.0147273019514,0.014284177353,0.00388384010704,0.00237691491178,0.0180037757109,0.015532228448,0.00816957044659,0.00864647641123,0.00947782234966,0.0088321942345,0.0171891117412,0.0176821127446,0.00954445914935,0.00973665091227,0.0145069071876,0.0155850875707,0.0062946527591,0.00618744694956,0.00726251306153,0.00710330828537,0.0136322979268,0.011981539451,0.0192322734336,0.0174418964422,0.011630395899,0.0104988150009,0.0106679495204,0.013061093554,0.0171772162882,0.0159593389636,0.00979897428206,0.0105254849,0.0133747545386,0.0136579229892,0.020018291675,0.0197066773559,0.0116887701403,0.0139609433368,0.0142342756494,0.00794546689205,0.00938983596939,0.0104511952408,0.0111933429908,0.012054559115,0.0217698832155,0.021107643968,0.0103083536697,0.00898702739374,0.00634965974223,0.00604910095902,0.0197047774229,0.0209048697551,0.00908842967943,0.0103792153538,0.0219340971361,0.0219601472168,0.0048969243818,0.00498072382572,0.0115640930423,0.0136571893267
neo-0232-2-4year,1.0,0.0190876577881,0.0212882737017,0.0248632083371,0.0267485757929,0.0123261763712,0.0135115448915,0.0168209407232,0.0190979846904,0.00616209813569,0.00666212080412,0.0106984169618,0.00960857315049,0.00920183959452,0.0100318086888,0.00990100643932,0.00989231264464,0.00955370349801,0.00977252092379,0.013921227018,0.0150229842283,0.00354097773681,0.00202424892683,0.0150151380613,0.012570760989,0.00838476618055,0.00886212387077,0.00852809467593,0.0094250660655,0.0145706393242,0.0147601315931,0.00796449474971,0.0114468135411,0.0141030353949,0.0150795335993,0.00497641369707,0.00449592099273,0.00797192314496,0.00711639574442,0.0152249733955,0.014924119072,0.0192076722054,0.018715768464,0.0111027975309,0.0102874003827,0.01392657346,0.0147997094201,0.0242586874996,0.0154735475605,0.00903132486432,0.0102950307585,0.0131883380554,0.0119370220271,0.018871013811,0.018454709485,0.0150185855411,0.0149858612417,0.0119677696794,0.0126340844764,0.011461777364,0.0118695260016,0.00926678237884,0.0104769634311,0.0224854865678,0.0202825884468,0.0125976088633,0.0106452183962,0.00554324876452,0.00541732166912,0.0193153485468,0.0235621653914,0.00877399820943,0.00934427903029,0.0240162538881,0.0208576840002,0.00524578667826,0.00567137175088,0.0117752269865,0.0120769220324
neo-0238-1-4year,1.0,0.020150595526,0.0199787330341,0.0208684569152,0.0213022550822,0.0114424527519,0.0126018075224,0.0218566677657,0.0204851191363,0.00797452355094,0.00757680824565,0.0107099357448,0.0109191883308,0.0111401390228,0.0115767952383,0.0127565136041,0.0121279905874,0.00874370802054,0.0101537489602,0.0156525509629,0.0160273288055,0.00419764499568,0.00344100711522,0.017188936725,0.0141108997337,0.00890974886255,0.00922806400921,0.00882737495321,0.00957817291507,0.0160346789429,0.0196097951102,0.00920636679335,0.0102282794752,0.015095726801,0.016629682816,0.00653836841143,0.00629672934597,0.00673106339709,0.00812785541471,0.0119254791796,0.0122663197266,0.0186866251606,0.0183691909749,0.00926909973901,0.00963058603236,0.0115765272962,0.0123697900121,0.018489959761,0.0169894640236,0.0115109119437,0.00867173513413,0.0110472037313,0.0110247108087,0.0205472004957,0.0195512375947,0.0132242957535,0.0140192899434,0.0135447138392,0.0081003203101,0.00981568729696,0.0101893426247,0.0109784684779,0.0134923717672,0.0226986878139,0.023220206552,0.0121189658122,0.00955347353041,0.00544626912344,0.00589215107063,0.0180825782436,0.0211064523748,0.00710408540732,0.00877170593413,0.0220993583007,0.0210656642884,0.00447270374136,0.00560382107438,0.0100850015276,0.0133626289525
neo-0239-1-4year,1.0,0.0181608531714,0.0233221933555,0.0191341064439,0.0211795364407,0.0105276773145,0.0156501595345,0.0182130339637,0.0248280727291,0.00568307805948,0.0107389051346,0.0103500470087,0.00958449864371,0.00779647703214,0.0116181827513,0.00975106987453,0.0135991085958,0.00882821714463,0.00885786462318,0.012375163024,0.0171272456761,0.00372923353701,0.00247618378736,0.0142520074767,0.0138797046476,0.010130562042,0.00899013956607,0.0110132959399,0.00916475779879,0.016850845683,0.0179577492353,0.0116434411114,0.00943199172704,0.0153763000705,0.0157576408273,0.00617863157155,0.00503226183158,0.00598410427023,0.00583263611728,0.0131946348441,0.0129741965384,0.017089216331,0.0167022016689,0.00997765704648,0.00893217039953,0.00944849406066,0.0100579374227,0.0167345109795,0.0164176350795,0.00989490789786,0.00943732905908,0.0125241999914,0.0122737195453,0.0235358318592,0.0227508186338,0.0134180032153,0.0152454004644,0.0116619936366,0.00707437735195,0.0107464737585,0.0114385210473,0.00991796059353,0.0147351146174,0.0220992609199,0.0224533597564,0.0142549016638,0.0133661777895,0.00482712991438,0.00573478389079,0.0188627601731,0.0242233636011,0.00850555457889,0.0083500612165,0.020671129936,0.0262233083894,0.00415488405912,0.00315673804394,0.0121016948049,0.0138246074578
neo-0242-1-4year,1.0,0.0183709008787,0.0206052888946,0.0192410432815,0.0209794314121,0.0130155286183,0.0145820291601,0.0189395313157,0.0203918228142,0.00671013678148,0.00891578709148,0.0123093881103,0.0112065823557,0.0101441499852,0.0120275618496,0.0117738113987,0.013203066628,0.0106854532399,0.0101247358857,0.0123367426814,0.0118402885984,0.00425247292741,0.00324123023747,0.0136069716492,0.0128336578093,0.00953195536806,0.00785727816763,0.00955836959014,0.00863698729403,0.0161930296664,0.0189346424136,0.00896890996533,0.00836111125173,0.0140089115236,0.0140866409582,0.00612046717581,0.00528402898263,0.00678297046686,0.0062574203411,0.0155851853047,0.013012769196,0.019095633822,0.0193042041531,0.0132987380137,0.0101399754745,0.0123030156478,0.0122162342124,0.0174490118897,0.0176694758103,0.00966783580507,0.00968986781801,0.0116637974076,0.00973595633322,0.0229265382299,0.021404939355,0.01500215292,0.0124815085039,0.0131180038402,0.00670180145451,0.0089691884182,0.0112173598513,0.00923465443138,0.0107794676028,0.0245938432764,0.0206803182494,0.0106861197008,0.00939101713133,0.00596629786284,0.0055674620533,0.0205491053216,0.0211814626656,0.0103556509187,0.00949969591805,0.0244690347647,0.0213560480519,0.00649404822277,0.0065118167114,0.0124607660473,0.0156496608392
neo-0243-1-4year,1.0,0.0170993033873,0.0243477568629,0.0207068415427,0.0204367642652,0.0124147570799,0.0134233141709,0.01872877896,0.0191165758011,0.00921109941586,0.00804790120488,0.0112601447678,0.0100846921153,0.0111737623965,0.0106206547458,0.0116600743338,0.012665666405,0.0098692437457,0.00967895666084,0.0130187179851,0.0136287233437,0.00411834923841,0.00283140891943,0.0164748867666,0.0129236182607,0.00792895717083,0.00875559642014,0.010373986032,0.00921033260039,0.0174623138313,0.0175126023201,0.00914131190501,0.010509775663,0.0133785175414,0.013752351038,0.00562495419495,0.00510125574334,0.00552747855975,0.00643727712113,0.0137581885729,0.0138296995928,0.0189043334505,0.017990019198,0.011177947018,0.0113493363616,0.0114876406606,0.0131592886498,0.0179090410499,0.0161555677641,0.00936370543191,0.00953259714796,0.0120635945436,0.0121390053679,0.0206420200749,0.0263912689719,0.0128061981203,0.0129009448661,0.0118657829298,0.0080468471379,0.00970969987539,0.0117603616257,0.00887464269625,0.0108350003618,0.0235370795471,0.0222571914961,0.0118089266055,0.0109413101981,0.00519636277075,0.00586216551795,0.0202040686333,0.0212824716592,0.00850604301956,0.0103028425966,0.0231708557812,0.0233474180863,0.00549059595277,0.00492836198084,0.0105690614535,0.0156838107148
neo-0245-1-4year,1.0,0.0193873370265,0.01923951445,0.0228731422899,0.0242312176282,0.0148506973333,0.0151152414625,0.0220651783429,0.0231480074926,0.00881738850359,0.0085674170897,0.0119399337276,0.011860455585,0.00991643387745,0.0100205808649,0.0132812760788,0.0130188071075,0.0103197197408,0.0111668543198,0.0129090142314,0.013932111663,0.00420419696472,0.00265687289948,0.0157905472926,0.0114112690121,0.00784193256343,0.00785479692124,0.0119751951998,0.00902404099617,0.0191677897783,0.0248503077548,0.00973871605733,0.00870924724247,0.0126181699075,0.0135709429937,0.00555036041034,0.00408604671443,0.00595654419933,0.00594944326837,0.0129447296445,0.0109563250918,0.0171806112712,0.0144524757469,0.010086096275,0.00846465016331,0.0101382994661,0.0091851818713,0.0174256197342,0.0170753719887,0.00831377159252,0.00926582323711,0.0109904172612,0.00968222272044,0.0211143182929,0.0210847553988,0.0142001677538,0.0137494167063,0.0140875357213,0.00908878835469,0.0103773317175,0.0117561464759,0.010242292438,0.012423173966,0.0221865365765,0.0177507102431,0.0101185874925,0.00922708020111,0.00588354889874,0.00532055288432,0.0193978891234,0.0221425772745,0.00954245556645,0.010460684569,0.0236523438187,0.0251581262219,0.00527909228313,0.00622001629874,0.0100839988254,0.0156735278412
neo-0247-1-4year,1.0,0.0202689335459,0.0216866794686,0.0206159264354,0.0201364179578,0.0128175769759,0.0121781707255,0.0210088586354,0.0190548130683,0.00720718657772,0.00754285261384,0.00954311690135,0.0105799474055,0.00963435717757,0.0110641929581,0.012253546959,0.0107359205417,0.0095838505876,0.0109186482646,0.0128319322044,0.0156023795402,0.00427876509993,0.00265034830031,0.0165131595749,0.0132140662807,0.00799435345824,0.00919168998927,0.0096216096315,0.00881620587214,0.0165845746336,0.0175712252426,0.0132405865928,0.0123039654274,0.0158867394438,0.0150955533572,0.00614595068063,0.00591530413468,0.00629308371281,0.0074684199266,0.0168507406445,0.0125515119825,0.019624353911,0.0167592424513,0.0104822527572,0.0109721939761,0.0123626178949,0.0124824848051,0.0187174469295,0.0168899160824,0.00894673764891,0.0113191438795,0.0112791882428,0.0126743986706,0.0214496666722,0.0197467634526,0.0131512119159,0.0125693039546,0.0128468870899,0.00769182975233,0.00914811491778,0.0113247234832,0.0105841815424,0.013901885695,0.0238948398763,0.0193460034728,0.0128219916547,0.00829476439433,0.00531265105203,0.00556014817313,0.0178144710324,0.0202341362485,0.00810537166718,0.00856674643279,0.0221407852744,0.021761322788,0.00395143408045,0.00541142250367,0.0121293620889,0.016276841005
