subject,allEigenvectorCentralitytotal,PreCG.L,PreCG.R,SFGdor.L,SFGdor.R,ORBsup.L,ORBsup.R,MFG.L,MFG.R,ORBmid.L,ORBmid.R,IFGoperc.L,IFGoperc.R,IFGtriang.L,IFGtriang.R,ORBinf.L,ORBinf.R,ROL.L,ROL.R,SMA.L,SMA.R,OLF.L,OLF.R,SFGmed.L,SFGmed.R,ORBsupmed.L,ORBsupmed.R,REC.L,REC.R,INS.L,INS.R,ACG.L,ACG.R,DCG.L,DCG.R,PCG.L,PCG.R,PHG.L,PHG.R,CAL.L,CAL.R,CUN.L,CUN.R,LING.L,LING.R,SOG.L,SOG.R,MOG.L,MOG.R,IOG.L,IOG.R,FFG.L,FFG.R,PoCG.L,PoCG.R,SPG.L,SPG.R,IPL.L,IPL.R,SMG.L,SMG.R,ANG.L,ANG.R,PCUN.L,PCUN.R,PCL.L,PCL.R,HES.L,HES.R,STG.L,STG.R,TPOsup.L,TPOsup.R,MTG.L,MTG.R,TPOmid.L,TPOmid.R,ITG.L,ITG.R
neo-0210-1-4year,6.84386785873,0.317512471698,0.204476706114,0.320922173245,0.249913294232,0.0550651542482,0.0578532435055,0.341607048354,0.227494194733,0.0596686215427,0.0434875497122,0.116005886532,0.0819143781198,0.13890684174,0.0950057909138,0.0627494037551,0.0606759313156,0.0886356348762,0.0688592567732,0.163597622892,0.166882769627,0.0129427556279,0.00900677969138,0.167102973688,0.142104829068,0.0371498855524,0.0337875590604,0.0232209055055,0.0272929168273,0.0958087474528,0.0837640881005,0.0797793107231,0.0606238334525,0.121167912352,0.104303338608,0.0461465366171,0.032564198861,0.0158890113408,0.0103333025282,0.0585467249232,0.0367092155938,0.0902071877501,0.0661742190472,0.0397369345133,0.0239893592542,0.0540767824395,0.0413841665992,0.0814114969394,0.0542385296269,0.0435225738976,0.0289087906593,0.0310791577023,0.0179905993049,0.250863589757,0.162413198409,0.104648010802,0.0797222390464,0.107084482598,0.0485864037923,0.0791329233799,0.0648322817777,0.0688723603016,0.0625619268332,0.125168472317,0.0969982039924,0.149107061315,0.0866093799629,0.0398764088881,0.0288649751514,0.0950291429421,0.0950877216209,0.0370011095372,0.0344934695548,0.108083824039,0.0904406743582,0.015702676941,0.0184078863192,0.0559986149318,0.0460822229194
neo-0211-1-4year,7.5746848561,0.207261987178,0.205445873211,0.199661762429,0.237029856883,0.032576348068,0.0703067129587,0.183737864609,0.219586947381,0.0358058324685,0.064997725479,0.0702313020932,0.0824369464774,0.0635067020383,0.0950893943242,0.0377501726097,0.0764640092066,0.0708699885544,0.0833600413183,0.102460976057,0.142408988368,0.00837457541849,0.00732153133977,0.0973977175572,0.112296421487,0.0237420395164,0.0393212805663,0.0159524818184,0.0300456854044,0.0689846734748,0.107870111299,0.0458767792717,0.0516535859138,0.0818454770786,0.110983540537,0.0489855155098,0.0529250573488,0.0234354694803,0.0350278485577,0.0960174098767,0.109264617253,0.140219177328,0.175080857136,0.0610058454875,0.0739541453559,0.0864098178397,0.126312223173,0.106348383267,0.168422991221,0.0440090056576,0.0950949017217,0.0425907681171,0.0704945400263,0.209242003166,0.182968543412,0.130012550435,0.126554320143,0.120971802966,0.0693479561245,0.0795490335611,0.105784942122,0.0770107464006,0.107654049144,0.156519746264,0.184859031667,0.092346889181,0.106895619952,0.0402453374719,0.0524336595836,0.117817196109,0.196774640718,0.0426764722293,0.0626083925478,0.135954481007,0.239679615559,0.019422495762,0.0454437180163,0.0687083651664,0.164949340637
neo-0212-1-4year,7.32968394971,0.217139426681,0.279354573645,0.222963546959,0.313419679811,0.0454543449978,0.0737081833151,0.22768767839,0.283722489847,0.0521845046902,0.0759179555244,0.0812840287376,0.122441982655,0.0911972617912,0.128386960651,0.0506438887283,0.0831867105088,0.0666753441382,0.0924634924282,0.138036279183,0.144889708746,0.00861428868209,0.00634640719513,0.156425205979,0.156342203541,0.0392638134509,0.0410793355009,0.0215668044067,0.028717967163,0.0782919618488,0.115618640816,0.0675332875417,0.0672064171547,0.105391280583,0.110000076316,0.050740377233,0.0479386868433,0.0192959985531,0.0246589286577,0.0803656285957,0.0638962797739,0.129701061191,0.109555381043,0.0515987086827,0.0438950855599,0.0674798166794,0.0851491521282,0.0783266464897,0.0995326569573,0.040786235891,0.0522779522293,0.0337530324781,0.0487482894404,0.171627724346,0.203913970193,0.090939641933,0.113633275285,0.0893556198347,0.0680121113698,0.0624928787425,0.0970094797987,0.0677971987763,0.0924618810674,0.145223672365,0.132747816895,0.104999009654,0.0948404449489,0.0350085530789,0.053184310287,0.0918388657074,0.156400673245,0.0372147538662,0.0620414300654,0.0989903375597,0.160486444832,0.0165574680381,0.0276584300117,0.0461049247506,0.088287383027
neo-0232-2-4year,7.19951503212,0.152575460875,0.256032080547,0.211027055282,0.356430369182,0.0275338595933,0.060059816625,0.155500688096,0.274236762219,0.0174340798822,0.046222045046,0.0508539733651,0.0796565245604,0.0498471517573,0.0984165173288,0.0241200309104,0.0472737383363,0.0594305851917,0.0799605607057,0.145309222161,0.230139550887,0.00563538453719,0.00554989120493,0.136131964189,0.174579903913,0.0274377824003,0.0420630809307,0.0126839262416,0.0274884063621,0.0580318158605,0.0748076218232,0.0569214213842,0.119359095696,0.115879419691,0.170371299234,0.0433853490836,0.038844674973,0.0349011057142,0.0220134925607,0.117790868932,0.08422933097,0.163045936563,0.122840748634,0.0699152784374,0.0455063439319,0.130759307181,0.0925557988049,0.160587454183,0.0772727726798,0.0655291685119,0.0410711031327,0.0613886243442,0.0344600297862,0.134634386514,0.170345289381,0.128857384187,0.115191027178,0.0774461471662,0.0846057438261,0.0696886726897,0.0820011379628,0.0621078303082,0.0630795752603,0.173625571283,0.137632149358,0.121916529901,0.127298093178,0.0343354183558,0.0350385926032,0.110297685271,0.109636421591,0.0458332802069,0.0413094501828,0.145415307031,0.0991144219873,0.0240730931932,0.0203590628704,0.078894808949,0.0516794772441
neo-0238-1-4year,7.06084755712,0.298371836238,0.17875668872,0.339682805108,0.216032866435,0.0511131733422,0.0430773612517,0.340945082593,0.192254540546,0.0644375311255,0.0422224143944,0.107869426866,0.0809717906506,0.13490431078,0.0842566599189,0.0677698913116,0.0544019185928,0.0771482333583,0.0658804984963,0.178295429484,0.138791358164,0.0162062776829,0.0126014625897,0.197416328745,0.126264279079,0.0396094154973,0.0347011167007,0.0243011666086,0.023324315241,0.0946430380505,0.0918233606315,0.0711720322424,0.0649198153001,0.122153466865,0.118765847972,0.0588033470654,0.0495735009838,0.0150852180089,0.016383747757,0.0730075196402,0.061544476199,0.138510567207,0.111885024261,0.0418565086777,0.0354334960139,0.0814903695806,0.0646380698606,0.105220772743,0.0732408295868,0.0558459381131,0.0321641755605,0.0265854057116,0.0238301134942,0.212739426001,0.135010193098,0.109794497775,0.0885008502181,0.099835446625,0.0473846319174,0.0770486142513,0.0589112845214,0.0761222242578,0.0728021778172,0.167985525391,0.137385106892,0.134004297165,0.0849300584976,0.0366295907717,0.0355773329295,0.100143462307,0.101656143967,0.0321074579542,0.0358401923283,0.112687933996,0.103683399046,0.0171897679162,0.0195396455258,0.0481515430293,0.0550019318781
neo-0239-1-4year,6.18413136235,0.0708552472733,0.344218764543,0.0979588962185,0.276056794988,0.0151352263526,0.0754529386574,0.0764352255878,0.321055408935,0.00982752801826,0.0973868841459,0.0215834666114,0.101392764165,0.0187679864999,0.129635931705,0.0116703583835,0.0990381311539,0.0207864801505,0.101697195212,0.0663450442209,0.136768838661,0.00426443490101,0.0102306847268,0.0702977275596,0.128777067036,0.0235133735059,0.0361302754281,0.0134653687296,0.0297937737239,0.0257385401551,0.169217751931,0.0360613035703,0.0589753014749,0.0602142209098,0.0987402428525,0.0255010591756,0.0334308951667,0.00448169319364,0.0311980364233,0.0241114961158,0.0684283937528,0.0470401084569,0.0992703078934,0.0168519374517,0.0469094284512,0.019083328776,0.0759909940144,0.0225352553807,0.157960880562,0.010865942713,0.0733032705759,0.00974729356658,0.0774328388524,0.0678657338096,0.29257488189,0.0350739489583,0.146142924723,0.0255531933709,0.0816213070334,0.0225370334633,0.148411202105,0.017345562591,0.184850324743,0.0734605021987,0.135283483472,0.0710119382645,0.126251909439,0.00804625872831,0.0793710998,0.0252326471404,0.298949408687,0.0086922381987,0.0818674797099,0.0248714461594,0.324935816243,0.0034475203837,0.0285598505068,0.0137219992563,0.156819312967
neo-0242-1-4year,7.46897295452,0.217367065154,0.202644546864,0.166816903718,0.173366392283,0.0391335534784,0.0504640536191,0.168600329003,0.183090841159,0.0330846682002,0.0451135921814,0.0999457789749,0.0864481790501,0.0766345358031,0.0977434594241,0.0486588585127,0.0607615471446,0.0993260185521,0.0789742031809,0.0801834646294,0.0688608853007,0.00824015597001,0.00623753899068,0.0825860917458,0.0762133692504,0.0293494697964,0.0197996696407,0.0185269119694,0.0178179815407,0.108600227682,0.106575035632,0.0399440548883,0.0298560003415,0.0951927347999,0.0616892011576,0.0719937482172,0.0345592970925,0.0370564430652,0.0171231054248,0.176825656258,0.0763537957023,0.245936168438,0.122380343049,0.118725244914,0.0434375404394,0.153337353494,0.0819762817735,0.164191547793,0.101623253405,0.0842785093466,0.0553646153969,0.0667705459674,0.0370555179506,0.235217752296,0.17679234495,0.179059405042,0.0922451411817,0.135785108764,0.0472186275247,0.0995034154373,0.0849221001952,0.099878534012,0.0706854051019,0.25691670764,0.120774646844,0.107129558027,0.0672836474662,0.0595877193005,0.0426876949366,0.187779788573,0.132579348204,0.0778027044138,0.0472885798028,0.222121483923,0.15022827357,0.0429996802016,0.032075737602,0.123797853472,0.109775408669
neo-0243-1-4year,4.62409670763,0.0228198045679,0.545953678598,0.0362039710925,0.261708064465,0.00737767244263,0.0478913902002,0.0264214278951,0.320077178749,0.00824795595704,0.0541559386751,0.00965709361193,0.102337547673,0.0107651481974,0.101534534837,0.00637410990029,0.0593849459242,0.00752267606285,0.150077249644,0.0347744579415,0.0912118723173,0.00202435549505,0.0044113886998,0.0385425750109,0.0810481936176,0.00873996754622,0.018962129464,0.00517212084521,0.0147556155299,0.0103268385543,0.0997122461977,0.0147940624208,0.0300072093472,0.0261663015715,0.0535891949628,0.0114986809563,0.0219113794858,0.0020296702958,0.0132011843348,0.0161904428869,0.0392357542863,0.0300156686559,0.0661764110471,0.00865112900182,0.0282734795858,0.0126738504613,0.0577688748162,0.0115033001683,0.0677956364495,0.00482959016365,0.0318583074798,0.00408786943582,0.0292417187781,0.0211003416521,0.530916947765,0.0166741694796,0.140465940515,0.00895685346478,0.116258164854,0.00639949205278,0.188485608478,0.00540546866477,0.0732243361194,0.0385154367534,0.0924966863036,0.029374023993,0.109801140565,0.00293235880462,0.0449649601272,0.00987749418819,0.135997055015,0.00367786920029,0.0461345336585,0.010696545651,0.127000160397,0.00190733027667,0.0188549108827,0.00462532290974,0.0696616895565
neo-0245-1-4year,6.32639470544,0.155151762576,0.302813770547,0.201546086121,0.407891529711,0.0461985617642,0.0909170108807,0.198650324289,0.415210713801,0.0508694155905,0.1029745486,0.0759113479067,0.145569559595,0.0644537971308,0.139223753524,0.045837566602,0.111750776063,0.0485063800992,0.124737366599,0.0799199909518,0.110711098111,0.00833380469244,0.00710209056413,0.109542240191,0.134810426403,0.0272488308812,0.0295954915509,0.0267186318699,0.0278104629267,0.066763539785,0.192983367834,0.0414251649559,0.0382604359847,0.0443769273233,0.0617603643879,0.0186577163319,0.0138770967925,0.00522102496632,0.0156081783243,0.0283322471798,0.030343349966,0.045557570785,0.0381448529573,0.0162769145919,0.0194220170126,0.0286718828903,0.0449702432241,0.046642939855,0.109537409916,0.0168246511983,0.0485013363862,0.0108322277099,0.0334687553199,0.11130756124,0.208161274104,0.0533850666294,0.0953289362814,0.0531758634389,0.075370058736,0.0424244020918,0.116341770478,0.034495924458,0.10042959598,0.0618404615462,0.054009806037,0.0561859050063,0.0649688744528,0.0207817059743,0.0575615853737,0.0594601686796,0.192244957484,0.0263617763234,0.077229651116,0.0658373947007,0.20277541878,0.0116813929707,0.0407549292977,0.0245045243877,0.113308144649
neo-0247-1-4year,7.07980717057,0.316962316989,0.171587477786,0.31580725068,0.16800810691,0.0541377333267,0.0402857710489,0.331777527166,0.158862435836,0.0518997627485,0.0326016414608,0.0910206637898,0.0596956387723,0.10001788652,0.0687049239211,0.0574860850386,0.0363998670849,0.0833121073098,0.057521329859,0.126279865943,0.115244538892,0.0116343670527,0.00576477744092,0.146908694045,0.0997291347245,0.0351306465556,0.0347885587831,0.0243292084408,0.0195774255073,0.0888573380905,0.0627123125205,0.0878947668089,0.0614669853141,0.123751685499,0.0883713595537,0.0630179158572,0.0386475263605,0.0221067092248,0.0198137274444,0.145142549178,0.0577100601451,0.203091471518,0.0890433993595,0.0680233350568,0.0404144805807,0.123543628967,0.064550087515,0.139329976013,0.081753506443,0.0553766302847,0.046004507314,0.0409583680494,0.0371930201858,0.25099663614,0.129964781521,0.137756664154,0.0752408542084,0.12054095524,0.0456168051683,0.0847926059364,0.0658720649366,0.100117800875,0.081392183173,0.218125097084,0.105574193311,0.140950418291,0.0638085346489,0.0395746949161,0.0288494678027,0.118199749673,0.0970309499407,0.0373301181793,0.0288760069278,0.148850880771,0.112319981879,0.0174880540361,0.0187361641211,0.0729677429921,0.0745826737316
